"Annotation Protein Groups Group ID"	"Checked"	"Tags"	"Annotation Accession"	"Annotation Level"	"Annotation Description"	"Annotation Source"	"# Master Proteins"	"# Proteins"	"# Reference Proteins"	"Coverage [%]"
"899"	"False"	""	"Pf02886"	"LeafAnnotation"	"LBP / BPI / CETP family, C-terminal domain"	"Pfam"	"1"	"1"	"2"	"50"
"900"	"False"	""	"GO:0008035"	"LeafAnnotation"	"high-density lipoprotein particle binding"	"GOAnnotation"	"3"	"3"	"9"	"33"
"901"	"False"	""	"GO:0071813"	"IntermediateAnnotation"	"lipoprotein particle binding"	"GOAnnotation"	"4"	"4"	"26"	"15"
"902"	"False"	""	"GO:0071814"	"IntermediateAnnotation"	"protein-lipid complex binding"	"GOAnnotation"	"4"	"4"	"26"	"15"
"903"	"False"	""	"GO:0008429"	"LeafAnnotation"	"phosphatidylethanolamine binding"	"GOAnnotation"	"1"	"1"	"8"	"12"
"904"	"False"	""	"GO:0008526"	"LeafAnnotation"	"phosphatidylinositol transfer activity"	"GOAnnotation"	"1"	"1"	"5"	"20"
"905"	"False"	""	"GO:0120014"	"IntermediateAnnotation"	"phospholipid transfer activity"	"GOAnnotation"	"1"	"1"	"11"	"9"
"906"	"False"	""	"GO:0005548"	"IntermediateAnnotation"	"phospholipid transporter activity"	"GOAnnotation"	"2"	"2"	"45"	"4"
"907"	"False"	""	"GO:0120013"	"IntermediateAnnotation"	"lipid transfer activity"	"GOAnnotation"	"6"	"6"	"33"	"18"
"908"	"False"	""	"GO:0005319"	"IntermediateAnnotation"	"lipid transporter activity"	"GOAnnotation"	"11"	"11"	"125"	"9"
"909"	"False"	""	"GO:0120009"	"IntermediateAnnotation"	"intermembrane lipid transfer"	"GOAnnotation"	"6"	"6"	"33"	"18"
"910"	"False"	""	"GO:0005215"	"IntermediateAnnotation"	"transporter activity"	"GOAnnotation"	"16"	"16"	"878"	"2"
"911"	"False"	""	"GO:0061024"	"IntermediateAnnotation"	"membrane organization"	"GOAnnotation"	"9"	"9"	"441"	"2"
"912"	"False"	""	"GO:0010189"	"LeafAnnotation"	"vitamin E biosynthetic process"	"GOAnnotation"	"1"	"1"	"1"	"100"
"913"	"False"	""	"GO:0042360"	"IntermediateAnnotation"	"vitamin E metabolic process"	"GOAnnotation"	"1"	"1"	"6"	"17"
"914"	"False"	""	"GO:0042362"	"IntermediateAnnotation"	"fat-soluble vitamin biosynthetic process"	"GOAnnotation"	"1"	"1"	"1"	"100"
"915"	"False"	""	"GO:1901617"	"IntermediateAnnotation"	"organic hydroxy compound biosynthetic process"	"GOAnnotation"	"2"	"2"	"62"	"3"
"916"	"False"	""	"GO:0006775"	"IntermediateAnnotation"	"fat-soluble vitamin metabolic process"	"GOAnnotation"	"2"	"2"	"13"	"15"
"917"	"False"	""	"GO:0009110"	"IntermediateAnnotation"	"vitamin biosynthetic process"	"GOAnnotation"	"1"	"1"	"6"	"17"
"918"	"False"	""	"GO:0006766"	"IntermediateAnnotation"	"vitamin metabolic process"	"GOAnnotation"	"4"	"4"	"40"	"10"
"919"	"False"	""	"GO:0044283"	"IntermediateAnnotation"	"small molecule biosynthetic process"	"GOAnnotation"	"3"	"3"	"130"	"2"
"920"	"False"	""	"GO:0019992"	"LeafAnnotation"	"diacylglycerol binding"	"GOAnnotation"	"1"	"1"	"11"	"9"
"921"	"False"	""	"GO:0030169"	"LeafAnnotation"	"low-density lipoprotein particle binding"	"GOAnnotation"	"1"	"1"	"16"	"6"
"922"	"False"	""	"GO:0030317"	"IntermediateAnnotation"	"flagellated sperm motility"	"GOAnnotation"	"2"	"2"	"36"	"6"
"923"	"False"	""	"GO:0060285"	"IntermediateAnnotation"	"cilium-dependent cell motility"	"GOAnnotation"	"2"	"2"	"37"	"5"
"924"	"False"	""	"GO:0060294"	"IntermediateAnnotation"	"cilium movement involved in cell motility"	"GOAnnotation"	"2"	"2"	"37"	"5"
"925"	"False"	""	"GO:0097722"	"IntermediateAnnotation"	"sperm motility"	"GOAnnotation"	"2"	"2"	"36"	"6"
"926"	"False"	""	"GO:0001539"	"IntermediateAnnotation"	"cilium or flagellum-dependent cell motility"	"GOAnnotation"	"2"	"2"	"37"	"5"
"927"	"False"	""	"GO:0003341"	"IntermediateAnnotation"	"cilium movement"	"GOAnnotation"	"2"	"2"	"48"	"4"
"928"	"False"	""	"GO:0007018"	"IntermediateAnnotation"	"microtubule-based movement"	"GOAnnotation"	"2"	"2"	"106"	"2"
"929"	"False"	""	"GO:0007017"	"IntermediateAnnotation"	"microtubule-based process"	"GOAnnotation"	"2"	"2"	"259"	"1"
"930"	"False"	""	"GO:0031210"	"LeafAnnotation"	"phosphatidylcholine binding"	"GOAnnotation"	"4"	"4"	"20"	"20"
"931"	"False"	""	"GO:0050997"	"IntermediateAnnotation"	"quaternary ammonium group binding"	"GOAnnotation"	"4"	"4"	"23"	"17"
"932"	"False"	""	"GO:0034189"	"LeafAnnotation"	"very-low-density lipoprotein particle binding"	"GOAnnotation"	"1"	"1"	"4"	"25"
"933"	"False"	""	"GO:0034375"	"IntermediateAnnotation"	"high-density lipoprotein particle remodeling"	"GOAnnotation"	"9"	"9"	"17"	"53"
"934"	"False"	""	"GO:0035627"	"IntermediateAnnotation"	"ceramide transport"	"GOAnnotation"	"1"	"1"	"13"	"8"
"935"	"False"	""	"GO:0042886"	"IntermediateAnnotation"	"amide transport"	"GOAnnotation"	"1"	"1"	"92"	"1"
"936"	"False"	""	"GO:0046836"	"IntermediateAnnotation"	"glycolipid transport"	"GOAnnotation"	"1"	"1"	"5"	"20"
"937"	"False"	""	"GO:1901264"	"IntermediateAnnotation"	"carbohydrate derivative transport"	"GOAnnotation"	"1"	"1"	"54"	"2"
"938"	"False"	""	"GO:0070300"	"LeafAnnotation"	"phosphatidic acid binding"	"GOAnnotation"	"1"	"1"	"14"	"7"
"939"	"False"	""	"GO:0097001"	"IntermediateAnnotation"	"ceramide binding"	"GOAnnotation"	"1"	"1"	"10"	"10"
"940"	"False"	""	"GO:0033218"	"IntermediateAnnotation"	"amide binding"	"GOAnnotation"	"6"	"6"	"148"	"4"
"941"	"False"	""	"GO:0046625"	"IntermediateAnnotation"	"sphingolipid binding"	"GOAnnotation"	"1"	"1"	"17"	"6"
"942"	"False"	""	"GO:0120017"	"IntermediateAnnotation"	"ceramide transfer activity"	"GOAnnotation"	"1"	"1"	"4"	"25"
"943"	"False"	""	"GO:0120016"	"IntermediateAnnotation"	"sphingolipid transfer activity"	"GOAnnotation"	"1"	"1"	"4"	"25"
"944"	"False"	""	"GO:0046624"	"IntermediateAnnotation"	"sphingolipid transporter activity"	"GOAnnotation"	"1"	"1"	"14"	"7"
"945"	"False"	""	"GO:0120019"	"LeafAnnotation"	"phosphatidylcholine transfer activity"	"GOAnnotation"	"1"	"1"	"4"	"25"
"946"	"False"	""	"GO:0008525"	"IntermediateAnnotation"	"phosphatidylcholine transporter activity"	"GOAnnotation"	"2"	"2"	"13"	"15"
"947"	"False"	""	"GO:0120020"	"LeafAnnotation"	"cholesterol transfer activity"	"GOAnnotation"	"6"	"6"	"21"	"29"
"948"	"False"	""	"GO:0120015"	"IntermediateAnnotation"	"sterol transfer activity"	"GOAnnotation"	"6"	"6"	"22"	"27"
"949"	"False"	""	"GO:0140337"	"LeafAnnotation"	"diacylglyceride transfer activity"	"GOAnnotation"	"1"	"1"	"1"	"100"
"950"	"False"	""	"GO:0140338"	"LeafAnnotation"	"sphingomyelin transfer activity"	"GOAnnotation"	"1"	"1"	"1"	"100"
"951"	"False"	""	"GO:0140339"	"LeafAnnotation"	"phosphatidylglycerol transfer activity"	"GOAnnotation"	"1"	"1"	"1"	"100"
"952"	"False"	""	"GO:0140340"	"LeafAnnotation"	"cerebroside transfer activity"	"GOAnnotation"	"1"	"1"	"1"	"100"
"953"	"False"	""	"GO:0017089"	"IntermediateAnnotation"	"glycolipid transfer activity"	"GOAnnotation"	"1"	"1"	"3"	"33"
"954"	"False"	""	"GO:1901611"	"IntermediateAnnotation"	"phosphatidylglycerol binding"	"GOAnnotation"	"1"	"1"	"11"	"9"
"955"	"False"	""	"GO:1904121"	"LeafAnnotation"	"phosphatidylethanolamine transfer activity"	"GOAnnotation"	"1"	"1"	"3"	"33"
"956"	"False"	""	"GO:1990050"	"LeafAnnotation"	"phosphatidic acid transfer activity"	"GOAnnotation"	"1"	"1"	"1"	"100"
"957"	"False"	""	"Pf01344"	"LeafAnnotation"	"Kelch motif"	"Pfam"	"1"	"1"	"6"	"17"
"958"	"False"	""	"Pf01437"	"LeafAnnotation"	"Plexin repeat"	"Pfam"	"1"	"1"	"25"	"4"
"959"	"False"	""	"Pf13964"	"LeafAnnotation"	"Kelch motif"	"Pfam"	"1"	"1"	"1"	"100"
"960"	"False"	""	"GO:0021549"	"IntermediateAnnotation"	"cerebellum development"	"GOAnnotation"	"1"	"1"	"46"	"2"
"961"	"False"	""	"GO:0022037"	"IntermediateAnnotation"	"metencephalon development"	"GOAnnotation"	"1"	"1"	"47"	"2"
"962"	"False"	""	"GO:0030902"	"IntermediateAnnotation"	"hindbrain development"	"GOAnnotation"	"1"	"1"	"60"	"2"
"963"	"False"	""	"GO:0007420"	"IntermediateAnnotation"	"brain development"	"GOAnnotation"	"4"	"4"	"261"	"2"
"964"	"False"	""	"GO:0048513"	"IntermediateAnnotation"	"animal organ development"	"GOAnnotation"	"19"	"19"	"1047"	"2"
"965"	"False"	""	"GO:0007417"	"IntermediateAnnotation"	"central nervous system development"	"GOAnnotation"	"11"	"11"	"376"	"3"
"966"	"False"	""	"GO:0060322"	"IntermediateAnnotation"	"head development"	"GOAnnotation"	"4"	"4"	"285"	"1"
"967"	"False"	""	"GO:0007399"	"IntermediateAnnotation"	"nervous system development"	"GOAnnotation"	"19"	"19"	"990"	"2"
"968"	"False"	""	"GO:0040014"	"IntermediateAnnotation"	"regulation of multicellular organism growth"	"GOAnnotation"	"1"	"1"	"34"	"3"
"969"	"False"	""	"GO:0048638"	"IntermediateAnnotation"	"regulation of developmental growth"	"GOAnnotation"	"5"	"5"	"148"	"3"
"970"	"False"	""	"GO:0040008"	"IntermediateAnnotation"	"regulation of growth"	"GOAnnotation"	"11"	"11"	"268"	"4"
"971"	"False"	""	"GO:0042552"	"IntermediateAnnotation"	"myelination"	"GOAnnotation"	"2"	"2"	"82"	"2"
"972"	"False"	""	"GO:0008366"	"IntermediateAnnotation"	"axon ensheathment"	"GOAnnotation"	"2"	"2"	"83"	"2"
"973"	"False"	""	"GO:0007272"	"IntermediateAnnotation"	"ensheathment of neurons"	"GOAnnotation"	"2"	"2"	"83"	"2"
"974"	"False"	""	"GO:0043473"	"IntermediateAnnotation"	"pigmentation"	"GOAnnotation"	"3"	"3"	"47"	"6"
"975"	"False"	""	"Pf00273"	"LeafAnnotation"	"Serum albumin family"	"Pfam"	"3"	"3"	"4"	"75"
"976"	"False"	""	"GO:0003677"	"IntermediateAnnotation"	"DNA binding"	"GOAnnotation"	"2"	"2"	"129"	"2"
"977"	"False"	""	"GO:0003676"	"IntermediateAnnotation"	"nucleic acid binding"	"GOAnnotation"	"2"	"2"	"226"	"1"
"978"	"False"	""	"GO:0005504"	"IntermediateAnnotation"	"fatty acid binding"	"GOAnnotation"	"2"	"2"	"14"	"14"
"979"	"False"	""	"GO:0033293"	"IntermediateAnnotation"	"monocarboxylic acid binding"	"GOAnnotation"	"2"	"2"	"22"	"9"
"980"	"False"	""	"GO:0015643"	"LeafAnnotation"	"toxic substance binding"	"GOAnnotation"	"1"	"1"	"5"	"20"
"981"	"False"	""	"GO:0030170"	"LeafAnnotation"	"pyridoxal phosphate binding"	"GOAnnotation"	"1"	"1"	"7"	"14"
"982"	"False"	""	"GO:0070279"	"IntermediateAnnotation"	"vitamin B6 binding"	"GOAnnotation"	"1"	"1"	"7"	"14"
"983"	"False"	""	"GO:0019842"	"IntermediateAnnotation"	"vitamin binding"	"GOAnnotation"	"4"	"4"	"38"	"11"
"984"	"False"	""	"GO:1901363"	"IntermediateAnnotation"	"heterocyclic compound binding"	"GOAnnotation"	"6"	"6"	"792"	"1"
"985"	"False"	""	"GO:0051902"	"LeafAnnotation"	"negative regulation of mitochondrial depolarization"	"GOAnnotation"	"1"	"1"	"4"	"25"
"986"	"False"	""	"GO:0051900"	"IntermediateAnnotation"	"regulation of mitochondrial depolarization"	"GOAnnotation"	"1"	"1"	"10"	"10"
"987"	"False"	""	"GO:1904180"	"IntermediateAnnotation"	"negative regulation of membrane depolarization"	"GOAnnotation"	"1"	"1"	"5"	"20"
"988"	"False"	""	"GO:0003254"	"IntermediateAnnotation"	"regulation of membrane depolarization"	"GOAnnotation"	"2"	"2"	"33"	"6"
"989"	"False"	""	"GO:0051881"	"IntermediateAnnotation"	"regulation of mitochondrial membrane potential"	"GOAnnotation"	"1"	"1"	"28"	"4"
"990"	"False"	""	"GO:0042391"	"IntermediateAnnotation"	"regulation of membrane potential"	"GOAnnotation"	"2"	"2"	"348"	"1"
"991"	"False"	""	"GO:0072732"	"LeafAnnotation"	"cellular response to calcium ion starvation"	"GOAnnotation"	"1"	"1"	"1"	"100"
"992"	"False"	""	"GO:0140272"	"IntermediateAnnotation"	"exogenous protein binding"	"GOAnnotation"	"2"	"2"	"76"	"3"
"993"	"False"	""	"GO:1903981"	"LeafAnnotation"	"enterobactin binding"	"GOAnnotation"	"1"	"1"	"2"	"50"
"994"	"False"	""	"GO:0005527"	"IntermediateAnnotation"	"macrolide binding"	"GOAnnotation"	"1"	"1"	"2"	"50"
"995"	"False"	""	"Pf18453"	"LeafAnnotation"	"Oligomerization domain of C4b-binding protein alpha"	"Pfam"	"1"	"1"	"1"	"100"
"996"	"False"	""	"GO:0002456"	"IntermediateAnnotation"	"T cell mediated immunity"	"GOAnnotation"	"1"	"1"	"27"	"4"
"997"	"False"	""	"GO:0009609"	"IntermediateAnnotation"	"response to symbiotic bacterium"	"GOAnnotation"	"2"	"2"	"5"	"40"
"998"	"False"	""	"GO:0009608"	"IntermediateAnnotation"	"response to symbiont"	"GOAnnotation"	"2"	"2"	"5"	"40"
"999"	"False"	""	"GO:0045732"	"IntermediateAnnotation"	"positive regulation of protein catabolic process"	"GOAnnotation"	"6"	"6"	"93"	"6"
"1000"	"False"	""	"GO:0042176"	"IntermediateAnnotation"	"regulation of protein catabolic process"	"GOAnnotation"	"8"	"8"	"151"	"5"
"1001"	"False"	""	"GO:0051247"	"IntermediateAnnotation"	"positive regulation of protein metabolic process"	"GOAnnotation"	"17"	"17"	"499"	"3"
"1002"	"False"	""	"GO:0045959"	"LeafAnnotation"	"negative regulation of complement activation, classical pathway"	"GOAnnotation"	"2"	"2"	"6"	"33"
"1003"	"False"	""	"GO:0002924"	"IntermediateAnnotation"	"negative regulation of humoral immune response mediated by circulating immunoglobulin"	"GOAnnotation"	"2"	"2"	"7"	"29"
"1004"	"False"	""	"GO:0030450"	"IntermediateAnnotation"	"regulation of complement activation, classical pathway"	"GOAnnotation"	"2"	"2"	"7"	"29"
"1005"	"False"	""	"GO:0002890"	"IntermediateAnnotation"	"negative regulation of immunoglobulin mediated immune response"	"GOAnnotation"	"2"	"2"	"8"	"25"
"1006"	"False"	""	"GO:0002923"	"IntermediateAnnotation"	"regulation of humoral immune response mediated by circulating immunoglobulin"	"GOAnnotation"	"3"	"3"	"14"	"21"
"1007"	"False"	""	"GO:0002713"	"IntermediateAnnotation"	"negative regulation of B cell mediated immunity"	"GOAnnotation"	"2"	"2"	"8"	"25"
"1008"	"False"	""	"GO:0002889"	"IntermediateAnnotation"	"regulation of immunoglobulin mediated immune response"	"GOAnnotation"	"5"	"5"	"31"	"16"
"1009"	"False"	""	"GO:0002707"	"IntermediateAnnotation"	"negative regulation of lymphocyte mediated immunity"	"GOAnnotation"	"2"	"2"	"42"	"5"
"1010"	"False"	""	"GO:0002712"	"IntermediateAnnotation"	"regulation of B cell mediated immunity"	"GOAnnotation"	"5"	"5"	"31"	"16"
"1011"	"False"	""	"GO:0002823"	"IntermediateAnnotation"	"negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains"	"GOAnnotation"	"2"	"2"	"38"	"5"
"1012"	"False"	""	"GO:0002704"	"IntermediateAnnotation"	"negative regulation of leukocyte mediated immunity"	"GOAnnotation"	"3"	"3"	"50"	"6"
"1013"	"False"	""	"GO:0002706"	"IntermediateAnnotation"	"regulation of lymphocyte mediated immunity"	"GOAnnotation"	"6"	"6"	"132"	"5"
"1014"	"False"	""	"GO:0002822"	"IntermediateAnnotation"	"regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains"	"GOAnnotation"	"5"	"5"	"127"	"4"
"1015"	"False"	""	"GO:0002820"	"IntermediateAnnotation"	"negative regulation of adaptive immune response"	"GOAnnotation"	"2"	"2"	"41"	"5"
"1016"	"False"	""	"GO:0002703"	"IntermediateAnnotation"	"regulation of leukocyte mediated immunity"	"GOAnnotation"	"8"	"8"	"173"	"5"
"1017"	"False"	""	"GO:0002819"	"IntermediateAnnotation"	"regulation of adaptive immune response"	"GOAnnotation"	"5"	"5"	"133"	"4"
"1018"	"False"	""	"GO:1903027"	"IntermediateAnnotation"	"regulation of opsonization"	"GOAnnotation"	"3"	"3"	"10"	"30"
"1019"	"False"	""	"Pf00045"	"LeafAnnotation"	"Hemopexin"	"Pfam"	"2"	"2"	"10"	"20"
"1020"	"False"	""	"Pf01033"	"LeafAnnotation"	"Somatomedin B domain"	"Pfam"	"1"	"1"	"6"	"17"
"1021"	"False"	""	"GO:0005044"	"LeafAnnotation"	"scavenger receptor activity"	"GOAnnotation"	"2"	"2"	"23"	"9"
"1022"	"False"	""	"GO:0005178"	"IntermediateAnnotation"	"integrin binding"	"GOAnnotation"	"6"	"6"	"120"	"5"
"1023"	"False"	""	"GO:0050839"	"IntermediateAnnotation"	"cell adhesion molecule binding"	"GOAnnotation"	"8"	"8"	"258"	"3"
"1024"	"False"	""	"GO:0005201"	"IntermediateAnnotation"	"extracellular matrix structural constituent"	"GOAnnotation"	"3"	"3"	"34"	"9"
"1025"	"False"	""	"GO:0005198"	"IntermediateAnnotation"	"structural molecule activity"	"GOAnnotation"	"8"	"8"	"230"	"3"
"1026"	"False"	""	"GO:0005518"	"IntermediateAnnotation"	"collagen binding"	"GOAnnotation"	"4"	"4"	"38"	"11"
"1027"	"False"	""	"GO:0005604"	"IntermediateAnnotation"	"basement membrane"	"GOAnnotation"	"3"	"3"	"41"	"7"
"1028"	"False"	""	"GO:0062023"	"IntermediateAnnotation"	"collagen-containing extracellular matrix"	"GOAnnotation"	"7"	"7"	"84"	"8"
"1029"	"False"	""	"GO:0005796"	"IntermediateAnnotation"	"Golgi lumen"	"GOAnnotation"	"6"	"6"	"81"	"7"
"1030"	"False"	""	"GO:0010811"	"IntermediateAnnotation"	"positive regulation of cell-substrate adhesion"	"GOAnnotation"	"8"	"8"	"80"	"10"
"1031"	"False"	""	"GO:0010810"	"IntermediateAnnotation"	"regulation of cell-substrate adhesion"	"GOAnnotation"	"10"	"10"	"142"	"7"
"1032"	"False"	""	"GO:0010951"	"IntermediateAnnotation"	"negative regulation of endopeptidase activity"	"GOAnnotation"	"2"	"2"	"15"	"13"
"1033"	"False"	""	"GO:0010466"	"IntermediateAnnotation"	"negative regulation of peptidase activity"	"GOAnnotation"	"3"	"3"	"21"	"14"
"1034"	"False"	""	"GO:0052548"	"IntermediateAnnotation"	"regulation of endopeptidase activity"	"GOAnnotation"	"2"	"2"	"41"	"5"
"1035"	"False"	""	"GO:0051346"	"IntermediateAnnotation"	"negative regulation of hydrolase activity"	"GOAnnotation"	"7"	"7"	"54"	"13"
"1036"	"False"	""	"GO:0052547"	"IntermediateAnnotation"	"regulation of peptidase activity"	"GOAnnotation"	"3"	"3"	"51"	"6"
"1037"	"False"	""	"GO:0043086"	"IntermediateAnnotation"	"negative regulation of catalytic activity"	"GOAnnotation"	"11"	"11"	"143"	"8"
"1038"	"False"	""	"GO:0044092"	"IntermediateAnnotation"	"negative regulation of molecular function"	"GOAnnotation"	"13"	"13"	"247"	"5"
"1039"	"False"	""	"GO:0014911"	"IntermediateAnnotation"	"positive regulation of smooth muscle cell migration"	"GOAnnotation"	"1"	"1"	"27"	"4"
"1040"	"False"	""	"GO:0014910"	"IntermediateAnnotation"	"regulation of smooth muscle cell migration"	"GOAnnotation"	"3"	"3"	"45"	"7"
"1041"	"False"	""	"GO:0030247"	"IntermediateAnnotation"	"polysaccharide binding"	"GOAnnotation"	"1"	"1"	"12"	"8"
"1042"	"False"	""	"GO:0030949"	"LeafAnnotation"	"positive regulation of vascular endothelial growth factor receptor signaling pathway"	"GOAnnotation"	"1"	"1"	"8"	"12"
"1043"	"False"	""	"GO:0030947"	"IntermediateAnnotation"	"regulation of vascular endothelial growth factor receptor signaling pathway"	"GOAnnotation"	"1"	"1"	"18"	"6"
"1044"	"False"	""	"GO:0090287"	"IntermediateAnnotation"	"regulation of cellular response to growth factor stimulus"	"GOAnnotation"	"5"	"5"	"130"	"4"
"1045"	"False"	""	"GO:0032092"	"IntermediateAnnotation"	"positive regulation of protein binding"	"GOAnnotation"	"2"	"2"	"30"	"7"
"1046"	"False"	""	"GO:0043393"	"IntermediateAnnotation"	"regulation of protein binding"	"GOAnnotation"	"5"	"5"	"64"	"8"
"1047"	"False"	""	"GO:0051099"	"IntermediateAnnotation"	"positive regulation of binding"	"GOAnnotation"	"2"	"2"	"46"	"4"
"1048"	"False"	""	"GO:0051098"	"IntermediateAnnotation"	"regulation of binding"	"GOAnnotation"	"5"	"5"	"87"	"6"
"1049"	"False"	""	"GO:0033627"	"IntermediateAnnotation"	"cell adhesion mediated by integrin"	"GOAnnotation"	"2"	"2"	"30"	"7"
"1050"	"False"	""	"GO:0035987"	"IntermediateAnnotation"	"endodermal cell differentiation"	"GOAnnotation"	"2"	"2"	"16"	"12"
"1051"	"False"	""	"GO:0030154"	"IntermediateAnnotation"	"cell differentiation"	"GOAnnotation"	"24"	"24"	"1359"	"2"
"1052"	"False"	""	"GO:0001706"	"IntermediateAnnotation"	"endoderm formation"	"GOAnnotation"	"2"	"2"	"17"	"12"
"1053"	"False"	""	"GO:0048869"	"IntermediateAnnotation"	"cellular developmental process"	"GOAnnotation"	"24"	"24"	"1359"	"2"
"1054"	"False"	""	"GO:0001704"	"IntermediateAnnotation"	"formation of primary germ layer"	"GOAnnotation"	"2"	"2"	"42"	"5"
"1055"	"False"	""	"GO:0007492"	"IntermediateAnnotation"	"endoderm development"	"GOAnnotation"	"2"	"2"	"27"	"7"
"1056"	"False"	""	"GO:0048646"	"IntermediateAnnotation"	"anatomical structure formation involved in morphogenesis"	"GOAnnotation"	"7"	"7"	"425"	"2"
"1057"	"False"	""	"GO:0007369"	"IntermediateAnnotation"	"gastrulation"	"GOAnnotation"	"2"	"2"	"63"	"3"
"1058"	"False"	""	"GO:0009888"	"IntermediateAnnotation"	"tissue development"	"GOAnnotation"	"10"	"10"	"684"	"1"
"1059"	"False"	""	"GO:0048598"	"IntermediateAnnotation"	"embryonic morphogenesis"	"GOAnnotation"	"4"	"4"	"209"	"2"
"1060"	"False"	""	"GO:0048237"	"LeafAnnotation"	"rough endoplasmic reticulum lumen"	"GOAnnotation"	"1"	"1"	"2"	"50"
"1061"	"False"	""	"GO:0005791"	"IntermediateAnnotation"	"rough endoplasmic reticulum"	"GOAnnotation"	"3"	"3"	"21"	"14"
"1062"	"False"	""	"GO:0048260"	"IntermediateAnnotation"	"positive regulation of receptor-mediated endocytosis"	"GOAnnotation"	"4"	"4"	"39"	"10"
"1063"	"False"	""	"GO:0048709"	"IntermediateAnnotation"	"oligodendrocyte differentiation"	"GOAnnotation"	"2"	"2"	"36"	"6"
"1064"	"False"	""	"GO:0010001"	"IntermediateAnnotation"	"glial cell differentiation"	"GOAnnotation"	"3"	"3"	"113"	"3"
"1065"	"False"	""	"GO:0042063"	"IntermediateAnnotation"	"gliogenesis"	"GOAnnotation"	"3"	"3"	"142"	"2"
"1066"	"False"	""	"GO:0022008"	"IntermediateAnnotation"	"neurogenesis"	"GOAnnotation"	"11"	"11"	"649"	"2"
"1067"	"False"	""	"GO:0050731"	"IntermediateAnnotation"	"positive regulation of peptidyl-tyrosine phosphorylation"	"GOAnnotation"	"5"	"5"	"96"	"5"
"1068"	"False"	""	"GO:0001934"	"IntermediateAnnotation"	"positive regulation of protein phosphorylation"	"GOAnnotation"	"8"	"8"	"312"	"3"
"1069"	"False"	""	"GO:0050730"	"IntermediateAnnotation"	"regulation of peptidyl-tyrosine phosphorylation"	"GOAnnotation"	"6"	"6"	"128"	"5"
"1070"	"False"	""	"GO:0001932"	"IntermediateAnnotation"	"regulation of protein phosphorylation"	"GOAnnotation"	"16"	"16"	"443"	"4"
"1071"	"False"	""	"GO:0031401"	"IntermediateAnnotation"	"positive regulation of protein modification process"	"GOAnnotation"	"8"	"8"	"354"	"2"
"1072"	"False"	""	"GO:0042327"	"IntermediateAnnotation"	"positive regulation of phosphorylation"	"GOAnnotation"	"9"	"9"	"323"	"3"
"1073"	"False"	""	"GO:0031399"	"IntermediateAnnotation"	"regulation of protein modification process"	"GOAnnotation"	"16"	"16"	"506"	"3"
"1074"	"False"	""	"GO:0042325"	"IntermediateAnnotation"	"regulation of phosphorylation"	"GOAnnotation"	"17"	"17"	"462"	"4"
"1075"	"False"	""	"GO:0050840"	"IntermediateAnnotation"	"extracellular matrix binding"	"GOAnnotation"	"1"	"1"	"33"	"3"
"1076"	"False"	""	"GO:0051258"	"IntermediateAnnotation"	"protein polymerization"	"GOAnnotation"	"5"	"5"	"50"	"10"
"1077"	"False"	""	"GO:0065003"	"IntermediateAnnotation"	"protein-containing complex assembly"	"GOAnnotation"	"19"	"19"	"393"	"5"
"1078"	"False"	""	"GO:0022607"	"IntermediateAnnotation"	"cellular component assembly"	"GOAnnotation"	"20"	"20"	"939"	"2"
"1079"	"False"	""	"GO:0044085"	"IntermediateAnnotation"	"cellular component biogenesis"	"GOAnnotation"	"20"	"20"	"954"	"2"
"1080"	"False"	""	"GO:0061302"	"LeafAnnotation"	"smooth muscle cell-matrix adhesion"	"GOAnnotation"	"1"	"1"	"2"	"50"
"1081"	"False"	""	"GO:0071062"	"LeafAnnotation"	"alphav-beta3 integrin-vitronectin complex"	"GOAnnotation"	"1"	"1"	"3"	"33"
"1082"	"False"	""	"GO:0097421"	"LeafAnnotation"	"liver regeneration"	"GOAnnotation"	"2"	"2"	"17"	"12"
"1083"	"False"	""	"GO:0001889"	"IntermediateAnnotation"	"liver development"	"GOAnnotation"	"3"	"3"	"53"	"6"
"1084"	"False"	""	"GO:0031100"	"IntermediateAnnotation"	"animal organ regeneration"	"GOAnnotation"	"3"	"3"	"36"	"8"
"1085"	"False"	""	"GO:0048732"	"IntermediateAnnotation"	"gland development"	"GOAnnotation"	"4"	"4"	"163"	"2"
"1086"	"False"	""	"GO:0061008"	"IntermediateAnnotation"	"hepaticobiliary system development"	"GOAnnotation"	"3"	"3"	"54"	"6"
"1087"	"False"	""	"GO:0031099"	"IntermediateAnnotation"	"regeneration"	"GOAnnotation"	"6"	"6"	"84"	"7"
"1088"	"False"	""	"GO:0098637"	"IntermediateAnnotation"	"protein complex involved in cell-matrix adhesion"	"GOAnnotation"	"1"	"1"	"11"	"9"
"1089"	"False"	""	"GO:0098636"	"IntermediateAnnotation"	"protein complex involved in cell adhesion"	"GOAnnotation"	"2"	"2"	"50"	"4"
"1090"	"False"	""	"GO:1904090"	"IntermediateAnnotation"	"peptidase inhibitor complex"	"GOAnnotation"	"1"	"1"	"8"	"12"
"1091"	"False"	""	"GO:0002331"	"LeafAnnotation"	"pre-B cell allelic exclusion"	"GOAnnotation"	"1"	"1"	"1"	"100"
